epoch;custom_accuracy;loss;val_custom_accuracy;val_loss
0;0.5001567006111145;0.25008848309516907;0.5002152919769287;0.25000739097595215
1;0.502759575843811;0.24999091029167175;0.5001710057258606;0.2500216066837311
2;0.5047916173934937;0.24996088445186615;0.500156581401825;0.25004541873931885
3;0.5072869658470154;0.24990738928318024;0.49996674060821533;0.25008293986320496
4;0.5102339386940002;0.24981588125228882;0.499948650598526;0.25015729665756226
5;0.5134922862052917;0.24968312680721283;0.5002304911613464;0.2502525746822357
6;0.5166469812393188;0.2495175004005432;0.5000460743904114;0.25036853551864624
7;0.5195842385292053;0.24933359026908875;0.49994340538978577;0.25052282214164734
8;0.5222305655479431;0.24914464354515076;0.4999435245990753;0.25066477060317993
9;0.5246333479881287;0.24895557761192322;0.499901682138443;0.2508472800254822
10;0.5267334580421448;0.24877460300922394;0.49983325600624084;0.2510177493095398
11;0.5284162759780884;0.24860982596874237;0.49994197487831116;0.2511526048183441
12;0.5299438238143921;0.24845834076404572;0.4998597204685211;0.25130975246429443
13;0.5313186645507812;0.24832354485988617;0.49993905425071716;0.2514207363128662
14;0.53235924243927;0.24820178747177124;0.4999762177467346;0.2515643239021301
15;0.5333342552185059;0.2480957806110382;0.49992355704307556;0.2516561448574066
16;0.5342257618904114;0.24799704551696777;0.500084400177002;0.2517968714237213
17;0.5349860787391663;0.2479153424501419;0.5000649690628052;0.25190943479537964
18;0.5355564951896667;0.24783602356910706;0.49990347027778625;0.2520209550857544
19;0.5361444354057312;0.24776938557624817;0.4998739957809448;0.252056747674942
20;0.5367034673690796;0.24770621955394745;0.4998213052749634;0.25218436121940613
21;0.5371352434158325;0.24765072762966156;0.4998393952846527;0.25223851203918457
22;0.5375727415084839;0.24759896099567413;0.5000149607658386;0.25232699513435364
23;0.5378410220146179;0.24755331873893738;0.5000239014625549;0.2523668110370636
24;0.5382701754570007;0.24751099944114685;0.5002102851867676;0.2524350881576538
25;0.5385239720344543;0.2474696934223175;0.5000826120376587;0.252511203289032
26;0.5388386249542236;0.24743671715259552;0.5000748634338379;0.2525724470615387
27;0.5390917658805847;0.2474011480808258;0.5001165270805359;0.25263071060180664
28;0.539176881313324;0.2473735511302948;0.5001168251037598;0.2526182234287262
29;0.5395492315292358;0.24734322726726532;0.49991104006767273;0.2526927590370178
30;0.5397607088088989;0.24731671810150146;0.4999513328075409;0.2527817487716675
31;0.5399454236030579;0.24729081988334656;0.5000448822975159;0.25276613235473633
32;0.5401265621185303;0.24726788699626923;0.4999796748161316;0.2528068423271179
33;0.5401905179023743;0.24724455177783966;0.5000345706939697;0.2528117895126343
34;0.5404629707336426;0.247219979763031;0.5000557899475098;0.2528369426727295
35;0.5405921936035156;0.2472028136253357;0.5002341270446777;0.25290539860725403
36;0.5407525897026062;0.24718515574932098;0.5000700950622559;0.25291404128074646
37;0.5407974123954773;0.247163787484169;0.49998125433921814;0.2529412806034088
38;0.5410031080245972;0.24714718759059906;0.5001152753829956;0.25295722484588623
39;0.5410465002059937;0.24713104963302612;0.5000653862953186;0.2529977262020111
40;0.5412520170211792;0.24711501598358154;0.5002380609512329;0.2530318796634674
41;0.5414583683013916;0.24709519743919373;0.500106155872345;0.25305476784706116
42;0.5414484143257141;0.24708540737628937;0.5000397562980652;0.2530490458011627
43;0.541532039642334;0.24706760048866272;0.5002063512802124;0.25307127833366394
44;0.5416169762611389;0.24705268442630768;0.5002182126045227;0.25311657786369324
45;0.5417364835739136;0.2470409870147705;0.5000494122505188;0.2531057894229889
46;0.5417358875274658;0.24702851474285126;0.5002267956733704;0.253138929605484
47;0.54189532995224;0.24701696634292603;0.5002349615097046;0.2531609833240509
48;0.5420123934745789;0.24700415134429932;0.5001538991928101;0.2531714141368866
49;0.5421579480171204;0.24699100852012634;0.5001733303070068;0.2531779110431671
50;0.5421350002288818;0.24697904288768768;0.5002110600471497;0.253216415643692
51;0.5422452092170715;0.24696975946426392;0.5002008080482483;0.2531808614730835
52;0.5424109697341919;0.24695873260498047;0.5002151727676392;0.2532165050506592
53;0.5424779057502747;0.24694347381591797;0.5001336932182312;0.2532694935798645
54;0.5424827337265015;0.24693618714809418;0.49997276067733765;0.25326719880104065
55;0.5425096750259399;0.24692608416080475;0.5000727772712708;0.2532621920108795
56;0.5426292419433594;0.24691274762153625;0.5001325607299805;0.2532711923122406
57;0.5427072048187256;0.24690721929073334;0.5001881718635559;0.25328338146209717
58;0.542797327041626;0.24689818918704987;0.5000179409980774;0.25326985120773315
59;0.5427782535552979;0.2468874752521515;0.5001029968261719;0.2533286213874817
60;0.5428382754325867;0.24687686562538147;0.49995771050453186;0.2533482313156128
61;0.5428260564804077;0.24687151610851288;0.5000766515731812;0.2533608675003052
62;0.5429657101631165;0.24686124920845032;0.5000274777412415;0.2533922493457794
63;0.5429782867431641;0.24685603380203247;0.5000240802764893;0.25334468483924866
64;0.5430668592453003;0.24684637784957886;0.5000578165054321;0.25335174798965454
65;0.5431011319160461;0.2468378096818924;0.5000535845756531;0.25337663292884827
66;0.5431414246559143;0.24683041870594025;0.5000805854797363;0.2533697485923767
67;0.5431855916976929;0.24682234227657318;0.5001340508460999;0.25339069962501526
68;0.5432687401771545;0.2468145340681076;0.5000137090682983;0.25340184569358826
69;0.5432726740837097;0.24680759012699127;0.5000503063201904;0.25338634848594666
70;0.5432862639427185;0.24680352210998535;0.5000951886177063;0.25342869758605957
71;0.5433821678161621;0.24679282307624817;0.4998847246170044;0.25342991948127747
72;0.543443500995636;0.24678604304790497;0.5000573396682739;0.25342679023742676
