epoch;custom_accuracy;custom_loss;loss;val_custom_accuracy;val_custom_loss;val_loss
0;0.5001392364501953;31.991090774536133;0.2506243586540222;0.5000577569007874;31.99630355834961;0.2504535913467407
1;0.5002139210700989;31.986310958862305;0.2503873109817505;0.5001237392425537;31.992080688476562;0.25035491585731506
2;0.500262975692749;31.983169555664062;0.2503323256969452;0.5001440048217773;31.99078369140625;0.2503258287906647
3;0.5002790093421936;31.982149124145508;0.2503128945827484;0.5001267790794373;31.991886138916016;0.2503119707107544
4;0.5002909302711487;31.981380462646484;0.2503015697002411;0.5001482367515564;31.990514755249023;0.25030219554901123
5;0.5003023147583008;31.980653762817383;0.25029271841049194;0.5001548528671265;31.99009132385254;0.2502938508987427
6;0.500318706035614;31.97960090637207;0.25028473138809204;0.5001624226570129;31.989604949951172;0.2502860724925995
7;0.5003334879875183;31.978656768798828;0.25027716159820557;0.5001785755157471;31.988571166992188;0.250279039144516
8;0.5003449320793152;31.977930068969727;0.2502700388431549;0.5001850128173828;31.9881591796875;0.25027188658714294
9;0.5003477334976196;31.977739334106445;0.2502632737159729;0.5001948475837708;31.987529754638672;0.2502657175064087
10;0.5003560185432434;31.977216720581055;0.25025680661201477;0.5002003312110901;31.987178802490234;0.25025907158851624
11;0.5003740191459656;31.976064682006836;0.2502509355545044;0.5002128481864929;31.98637580871582;0.2502530515193939
12;0.5003831386566162;31.975479125976562;0.2502446472644806;0.5002272725105286;31.985456466674805;0.2502475678920746
13;0.5003934502601624;31.974824905395508;0.25023916363716125;0.5002316832542419;31.985170364379883;0.25024163722991943
14;0.5004035830497742;31.97416877746582;0.25023365020751953;0.5002418160438538;31.984525680541992;0.2502366602420807
15;0.5004079937934875;31.97389030456543;0.250228613615036;0.5002484917640686;31.98409652709961;0.2502315938472748
16;0.5004244446754456;31.972837448120117;0.25022363662719727;0.5002490878105164;31.984058380126953;0.25022661685943604
17;0.5004289746284485;31.972543716430664;0.2502190172672272;0.5002604722976685;31.98332977294922;0.2502219080924988
18;0.5004374384880066;31.972003936767578;0.25021421909332275;0.5002788305282593;31.982154846191406;0.250217467546463
19;0.5004515647888184;31.971099853515625;0.2502094507217407;0.5002800822257996;31.982074737548828;0.25021302700042725
20;0.500459611415863;31.970584869384766;0.25020551681518555;0.5002933144569397;31.981225967407227;0.2502089738845825
21;0.5004733204841614;31.969707489013672;0.2502012550830841;0.5003055930137634;31.98044204711914;0.25020480155944824
22;0.5004822611808777;31.969133377075195;0.25019755959510803;0.5003111958503723;31.980085372924805;0.25020086765289307
23;0.5004907250404358;31.96859359741211;0.25019368529319763;0.5003216862678528;31.979408264160156;0.25019729137420654
24;0.5005043745040894;31.96771812438965;0.250189870595932;0.500342071056366;31.978107452392578;0.25019362568855286
25;0.5005133748054504;31.967145919799805;0.2501864731311798;0.5003371238708496;31.978418350219727;0.2501901388168335
26;0.5005188584327698;31.96678924560547;0.2501830756664276;0.5003504157066345;31.97757339477539;0.25018665194511414
27;0.5005342960357666;31.965805053710938;0.2501794695854187;0.5003610849380493;31.976890563964844;0.2501833736896515
28;0.5005484819412231;31.964895248413086;0.2501763701438904;0.5003620982170105;31.976825714111328;0.25018027424812317
29;0.5005537867546082;31.964557647705078;0.250173419713974;0.5003724098205566;31.976171493530273;0.25017714500427246
30;0.5005568861961365;31.9643611907959;0.2501702904701233;0.5003769397735596;31.97587776184082;0.2501741349697113
31;0.5005684494972229;31.963619232177734;0.25016728043556213;0.5003867745399475;31.975244522094727;0.25017136335372925
32;0.5005755424499512;31.963163375854492;0.2501641809940338;0.5003988146781921;31.97447395324707;0.2501686215400696
33;0.5005905628204346;31.962203979492188;0.25016146898269653;0.5003987550735474;31.97447967529297;0.2501656413078308
34;0.5005974173545837;31.961767196655273;0.25015896558761597;0.5004010200500488;31.974336624145508;0.2501630485057831
35;0.5006123781204224;31.96080780029297;0.250156044960022;0.5004090070724487;31.97382354736328;0.2501606047153473
36;0.5006248354911804;31.96000862121582;0.2501538395881653;0.5004151463508606;31.97342872619629;0.2501583397388458
37;0.500633716583252;31.959442138671875;0.25015127658843994;0.5004132986068726;31.973548889160156;0.25015580654144287
38;0.500640332698822;31.959012985229492;0.2501490116119385;0.5004200339317322;31.97311782836914;0.2501533627510071
39;0.5006519556045532;31.958269119262695;0.2501464784145355;0.5004307627677917;31.972429275512695;0.25015100836753845
40;0.5006608963012695;31.95770263671875;0.2501441538333893;0.500435471534729;31.97212791442871;0.2501486539840698
41;0.5006742477416992;31.95684814453125;0.25014209747314453;0.5004441738128662;31.971572875976562;0.25014644861221313
42;0.5006788969039917;31.95655059814453;0.25013968348503113;0.5004561543464661;31.970806121826172;0.2501445412635803
43;0.5006914138793945;31.955751419067383;0.2501378059387207;0.5004613995552063;31.9704647064209;0.2501426041126251
44;0.500702977180481;31.955007553100586;0.25013598799705505;0.5004698038101196;31.96993064880371;0.25014054775238037
45;0.5007143020629883;31.954286575317383;0.2501334547996521;0.5004700422286987;31.96991729736328;0.2501384913921356
46;0.5007204413414001;31.95389175415039;0.25013166666030884;0.5004817843437195;31.969165802001953;0.2501365542411804
47;0.5007388591766357;31.952713012695312;0.25012993812561035;0.5004947185516357;31.968338012695312;0.2501346170902252
48;0.5007443428039551;31.952362060546875;0.25012773275375366;0.5005093216896057;31.967403411865234;0.2501327395439148
49;0.5007522702217102;31.951852798461914;0.2501261532306671;0.5005127787590027;31.96717643737793;0.2501310706138611
50;0.5007635354995728;31.95113754272461;0.2501241862773895;0.5005187392234802;31.966800689697266;0.25012946128845215
