epoch;custom_accuracy;custom_loss;loss;val_custom_accuracy;val_custom_loss;val_loss
0;0.7722325921058655;14.577109336853027;0.12386447191238403;0.8032754063606262;12.590394973754883;0.11609992384910583
1;0.8496108055114746;9.624885559082031;0.10073641687631607;0.9143202304840088;5.483503818511963;0.07613204419612885
2;0.963288426399231;2.349489688873291;0.04622280225157738;0.9930686950683594;0.44362667202949524;0.021865060552954674
3;0.9975410103797913;0.15741656720638275;0.011286248452961445;0.9987524747848511;0.07982533425092697;0.005106145050376654
4;0.9988664984703064;0.07260657101869583;0.003145232331007719;0.9988977313041687;0.07057332992553711;0.0020237599965184927
5;0.9989747405052185;0.06565257161855698;0.0015599762555211782;0.9991438984870911;0.05483066663146019;0.0011433918261900544
6;0.9991471171379089;0.054588571190834045;0.0010251568164676428;0.9991440773010254;0.05482933297753334;0.0009524449706077576
7;0.9991471171379089;0.054588284343481064;0.0009132365812547505;0.9991440773010254;0.05482933297753334;0.0008920501568354666
8;0.9991471171379089;0.054588284343481064;0.0008759952615946531;0.9991440773010254;0.05482933297753334;0.0008709040703251958
9;0.9991471171379089;0.054588284343481064;0.0008625663467682898;0.9991440773010254;0.05482933297753334;0.0008629841031506658
10;0.9991471171379089;0.054588284343481064;0.0008574110688641667;0.9991440773010254;0.05482933297753334;0.0008598312851972878
11;0.9991471171379089;0.054588284343481064;0.0008552930667065084;0.9991440773010254;0.05482933297753334;0.0008584734168834984
12;0.9991471171379089;0.054588284343481064;0.0008543491130694747;0.9991440773010254;0.05482933297753334;0.0008578364504501224
13;0.9991471171379089;0.054588284343481064;0.0008538916590623558;0.9991440773010254;0.05482933297753334;0.0008575039100833237
14;0.9991471171379089;0.054588284343481064;0.0008536279783584177;0.9991440773010254;0.05482933297753334;0.0008573152590543032
15;0.9991471171379089;0.054588284343481064;0.0008534798980690539;0.9991440773010254;0.05482933297753334;0.0008571944199502468
16;0.9991471171379089;0.054588284343481064;0.0008533652871847153;0.9991440773010254;0.05482933297753334;0.0008571106591261923
17;0.9991471171379089;0.054588284343481064;0.0008533162763342261;0.9991440773010254;0.05482933297753334;0.0008570525678806007
18;0.9991415739059448;0.0549280010163784;0.0008571099606342614;0.9991440773010254;0.05482933297753334;0.0008571651997044683
19;0.9991471171379089;0.054588284343481064;0.0008532725041732192;0.9991440773010254;0.05482933297753334;0.0008570044883526862
20;0.9991471171379089;0.054588284343481064;0.0008532017236575484;0.9991440773010254;0.05482933297753334;0.000856955477502197
21;0.9991998076438904;0.051191143691539764;0.0007996184867806733;0.9992669224739075;0.04692133516073227;0.0007341132732108235
22;0.9992689490318298;0.046767715364694595;0.0007314762333407998;0.9992669224739075;0.04692133516073227;0.0007337289280258119
23;0.9992689490318298;0.046767715364694595;0.0007312324014492333;0.9992669224739075;0.04692133516073227;0.0007335598929785192
24;0.9992689490318298;0.046767715364694595;0.0007311059744097292;0.9992669224739075;0.04692133516073227;0.0007334529655054212
25;0.9992689490318298;0.046767715364694595;0.0007310103392228484;0.9992669224739075;0.04692133516073227;0.0007333877729251981
26;0.9992689490318298;0.046767715364694595;0.0007309670909307897;0.9992669224739075;0.04692133516073227;0.0007333414978347719
27;0.9992689490318298;0.046767715364694595;0.0007309187203645706;0.9992669224739075;0.04692133516073227;0.000733319902792573
28;0.9990536570549011;0.060531143099069595;0.0009230542927980423;0.9992669224739075;0.04692133516073227;0.0007345825433731079
29;0.9992689490318298;0.046767715364694595;0.0007314753602258861;0.9992669224739075;0.04692133516073227;0.0007336162379942834
30;0.9992689490318298;0.046767715364694595;0.000731131702195853;0.9992669224739075;0.04692133516073227;0.0007334531983360648
31;0.9992689490318298;0.046767715364694595;0.0007310075452551246;0.9992669224739075;0.04692133516073227;0.0007333820103667676
32;0.9986892938613892;0.08388028293848038;0.0012949744705110788;0.9914644956588745;0.5463280081748962;0.008539211936295033
33;0.998570442199707;0.09143885970115662;0.0014252358814701438;0.9993888139724731;0.03917733207345009;0.0006135987350717187
34;0.9993906617164612;0.03898085653781891;0.0006098386365920305;0.9993891716003418;0.03914933279156685;0.0006121916230767965
35;0.9993906617164612;0.03897371515631676;0.0006093558040447533;0.9993891716003418;0.039147332310676575;0.0006120078614912927
36;0.9993906617164612;0.03897257149219513;0.0006092220428399742;0.9993891716003418;0.03914666548371315;0.0006119171739555895
37;0.9993906617164612;0.03897228464484215;0.0006091538816690445;0.9993891716003418;0.03914666548371315;0.0006118621677160263
38;0.9993906617164612;0.03897228464484215;0.0006091251270845532;0.9993891716003418;0.03914666548371315;0.0006118293385952711
39;0.9993906617164612;0.03897228464484215;0.0006090828101150692;0.9993891716003418;0.03914666548371315;0.0006118130986578763
40;0.9993906617164612;0.03897228464484215;0.0006090691895224154;0.9993891716003418;0.03914666548371315;0.00061179103795439
41;0.9993906617164612;0.03897228464484215;0.0006090643582865596;0.9993891716003418;0.03914666548371315;0.0006117853336036205
42;0.9993906617164612;0.03897228464484215;0.0006090615643188357;0.9993891716003418;0.03914666548371315;0.0006117713055573404
43;0.9993906617164612;0.03897228464484215;0.0006090531242080033;0.9993891716003418;0.03914666548371315;0.0006117627490311861
44;0.9993906617164612;0.03897228464484215;0.0006090503884479403;0.9993891716003418;0.03914666548371315;0.0006117587327025831
45;0.9993906617164612;0.03897228464484215;0.0006090233218856156;0.9993891716003418;0.03914666548371315;0.0006117575685493648
46;0.9993906617164612;0.03897228464484215;0.000609019654802978;0.9993891716003418;0.03914666548371315;0.0006117542507126927
