epoch;custom_accuracy;loss;val_custom_accuracy;val_loss
0;0.4999334514141083;0.2500837743282318;0.5001488327980042;0.25000298023223877
1;0.5017668008804321;0.24999600648880005;0.49993380904197693;0.25001227855682373
2;0.502998948097229;0.24998432397842407;0.5001022219657898;0.2500224709510803
3;0.5046576857566833;0.24996134638786316;0.5001210570335388;0.25003692507743835
4;0.5065920352935791;0.24992410838603973;0.5000777840614319;0.25007164478302
5;0.5087800025939941;0.24986481666564941;0.4999251961708069;0.25011777877807617
6;0.5112638473510742;0.2497820109128952;0.5000607371330261;0.25016772747039795
7;0.5137137770652771;0.24968022108078003;0.5000596046447754;0.25025075674057007
8;0.5160271525382996;0.24956607818603516;0.5002220869064331;0.2503470480442047
9;0.5180770754814148;0.24944892525672913;0.500041663646698;0.2504452168941498
10;0.5199770927429199;0.24933072924613953;0.5000835061073303;0.25055068731307983
11;0.521580159664154;0.24921856820583344;0.5001376271247864;0.2506435811519623
12;0.523003101348877;0.24911291897296906;0.5000988245010376;0.25073596835136414
13;0.5242053866386414;0.2490176111459732;0.5001402497291565;0.2508459985256195
14;0.5253016352653503;0.24893136322498322;0.5000617504119873;0.25094282627105713
15;0.5262364149093628;0.24884970486164093;0.5000424385070801;0.25102314352989197
16;0.5270421504974365;0.24877747893333435;0.5000495910644531;0.25109991431236267
17;0.527758002281189;0.24871306121349335;0.5000190734863281;0.25120604038238525
18;0.5283723473548889;0.24865421652793884;0.5000035166740417;0.25122717022895813
19;0.5289742946624756;0.2486010640859604;0.5000108480453491;0.25128209590911865
20;0.5294597744941711;0.24855247139930725;0.4999849498271942;0.2513667047023773
21;0.5299127697944641;0.2485087662935257;0.5000498294830322;0.25143420696258545
22;0.5302717089653015;0.24847149848937988;0.5000767707824707;0.2514727711677551
23;0.5306491255760193;0.24843591451644897;0.5000233054161072;0.25151240825653076
24;0.5310030579566956;0.24840345978736877;0.500038743019104;0.2515479028224945
25;0.5312415957450867;0.24837549030780792;0.4999781847000122;0.2515840530395508
26;0.53155118227005;0.24834854900836945;0.49999552965164185;0.2516162097454071
27;0.5317337512969971;0.24832652509212494;0.5000206232070923;0.25166723132133484
28;0.5319891571998596;0.2483004480600357;0.4999869763851166;0.2516760528087616
29;0.5322030782699585;0.24828214943408966;0.5000406503677368;0.25173041224479675
30;0.5323851108551025;0.24825911223888397;0.49995192885398865;0.2517300546169281
31;0.5325859189033508;0.24824199080467224;0.5000287294387817;0.2517939507961273
32;0.5327177047729492;0.24822372198104858;0.500061571598053;0.25181475281715393
33;0.5328894853591919;0.24820691347122192;0.500024139881134;0.2517964839935303
34;0.5330469608306885;0.24819254875183105;0.4999760389328003;0.2518366575241089
35;0.5331580638885498;0.24817752838134766;0.500022828578949;0.25184690952301025
36;0.5332850813865662;0.24816323816776276;0.5000359416007996;0.25184860825538635
37;0.533379077911377;0.2481490671634674;0.5000529885292053;0.2518906891345978
38;0.533564567565918;0.24813781678676605;0.5000727772712708;0.2519407570362091
39;0.5336702466011047;0.24812285602092743;0.5000467896461487;0.25193479657173157
40;0.5337663888931274;0.2481125295162201;0.5000437498092651;0.25193995237350464
41;0.5338740348815918;0.24810370802879333;0.5000313520431519;0.25195032358169556
42;0.5339139103889465;0.24809281527996063;0.500076174736023;0.25195059180259705
43;0.534061849117279;0.24808073043823242;0.5000715255737305;0.2519771456718445
44;0.5341492891311646;0.24807050824165344;0.500098466873169;0.2519676983356476
45;0.5342025756835938;0.24806095659732819;0.5001236200332642;0.25199201703071594
46;0.5342951416969299;0.24805183708667755;0.500128984451294;0.25198841094970703
47;0.534382700920105;0.24804365634918213;0.5000889301300049;0.252016544342041
48;0.5344247221946716;0.2480359971523285;0.5000802874565125;0.2519986629486084
49;0.5344855189323425;0.2480272799730301;0.5001256465911865;0.2520274221897125
50;0.5345847606658936;0.24802060425281525;0.5000652074813843;0.2520563006401062
51;0.5345742106437683;0.24801276624202728;0.500103235244751;0.2520563304424286
52;0.5346941947937012;0.24800468981266022;0.500098466873169;0.2520545721054077
53;0.5347343683242798;0.2479984611272812;0.5001174211502075;0.2521284818649292
54;0.5348227620124817;0.24798962473869324;0.5001477003097534;0.2521052658557892
55;0.5348550081253052;0.2479833960533142;0.500150203704834;0.2521052062511444
56;0.534850537776947;0.24797794222831726;0.5001348853111267;0.25211378931999207
57;0.5349472165107727;0.24797064065933228;0.5000324845314026;0.25214019417762756
58;0.5350033044815063;0.247966468334198;0.5000947713851929;0.2521006166934967
59;0.5350761413574219;0.2479580193758011;0.5000362396240234;0.25211960077285767
60;0.5350810289382935;0.2479536086320877;0.5001544952392578;0.2521269917488098
61;0.5351359844207764;0.24794457852840424;0.5001481175422668;0.25215402245521545
62;0.5352227687835693;0.24794094264507294;0.5000472068786621;0.2521341145038605
63;0.5352504849433899;0.24793455004692078;0.5000976920127869;0.2521476447582245
64;0.5352900624275208;0.24792979657649994;0.5001182556152344;0.2521635890007019
65;0.5353156924247742;0.2479243129491806;0.5001039505004883;0.25217416882514954
66;0.5353644490242004;0.24791903793811798;0.5001525282859802;0.25218087434768677
67;0.5354325175285339;0.2479136437177658;0.5000786185264587;0.25218018889427185
68;0.5354611277580261;0.24790890514850616;0.5001198053359985;0.252207487821579
69;0.5354974865913391;0.2479037344455719;0.5000831484794617;0.2521788477897644
70;0.535502552986145;0.2478986382484436;0.5000479817390442;0.2521798014640808
71;0.5355657339096069;0.24789680540561676;0.5000934600830078;0.25219208002090454
72;0.5356025099754333;0.2478916347026825;0.5001367330551147;0.2522162199020386
